x,y
21373,53216
-10460,-31621
21353,-42222
53136,-52828
42542,-21012
-42304,-10407
21337,21407
-42297,42612
31921,-42227
-21087,10800
-52877,-31621
42532,32006
42557,-31617
-10454,21405
10708,-21016
-42316,-10407
42559,42609
21338,10797
21371,-21016
42572,-42222
10728,42616
-31686,21404
31937,-21021
53180,32013
42523,-52830
53172,10795
42539,-42223
-21105,42609
-10468,-42222
10756,-52831
-10473,-31625
53189,10794
42548,-31623
-42308,-31623
-21046,-10408
53152,-42222
53153,53217
-42272,53216
-42277,10798
10756,-10411
21333,-10414
-52894,10796
10759,-21021
21353,-21014
21365,53214
-42269,-21020
10750,53219
53152,-10416
-31651,-52827
10734,-42226
21324,-31622
31918,-31618
53157,-21012
-52871,32013
31954,-21020
31967,10798
-52866,-42230
-21072,-52827
-21087,-21013
10720,-21014
31927,42611
21349,10801
-21078,21407
-42261,-31626
21366,32013
-31661,53214
-31687,21401
-52882,-21019
-21078,32005
31930,-52833
-31707,-10414
31947,-10416
-31707,-31625
31961,-42226
-42293,-52828
-42291,-52832
31963,10799
21326,-52827
-31702,-31622
-42304,-52828
-52909,-31626
-10466,10799
-52902,-31621
-31652,10797
21348,-31617
-52905,-21012
-31670,10794
21342,-10408
-42301,10801
21325,21405
-31656,53214
10710,-52832
42539,-10409
-10454,-31619
53133,42612
-21047,42612
21365,-21012
53136,-10415
-10493,-31623
-21062,53217
-31653,21403
53188,-52830
-21096,-31621
10713,-21015
31919,32013
-10457,-52834
10749,32005
-31704,-21013
10756,42611
-10477,-10410
-21089,-31617
53136,42610
-31659,10803
21350,42609
42552,-31626
-31691,-52836
53172,-52831
21361,21406
-52902,42609
-42267,32013
-31677,-31626
-10443,-10411
10724,-10408
31927,-31620
-52914,-10407
-52870,53214
-31692,-31623
42573,-10412
21349,42609
10717,-31619
-10494,21408
42528,-31619
-21096,32009
-31651,53223
-21087,-21019
-10474,-21019
53184,-21021
10750,-21016
-42261,-31618
-10474,10801
-52873,-42227
-42281,10797
-31712,-31626
42566,21399
42564,53219
-10474,-52829
53155,32009
-10482,42616
-21063,21404
53176,32008
-52919,-52836
-10477,-52830
31958,-52829
21349,-21017
-31664,32013
-52886,-21013
-10466,-31622
-21062,32013
53129,10803
21340,32008
-21082,10800
-52918,21408
-52894,53220
-21075,-21013
53129,42609
31918,53214
-31676,-10415
42567,-10415
53180,-10412
-10446,53215
-52873,-21021
-42281,-10411
42523,21402
-21064,-21021
31963,21401
-31664,-42230
-52914,-42231
-10497,-21014
-21087,42610
42523,-52835
31958,32007
-52862,10796
-31662,53214
10748,-10411
-31707,-21016
-52922,-10416
31918,21408
-31667,-31618
-42291,32009
31922,42609
10732,42610
21316,53223
10748,-31620
31976,-42226
-52880,-42231
-21071,-42223
10761,-31626
21313,-52830
-52914,53222
-52861,42610
-21104,-31626
-21102,10801
42580,-42224
10720,-31624
-10454,-42223
-10462,-21012
-52922,-31624
31958,53222
-42283,-42222
10718,-21017
10721,-21020
-31700,42611
21362,10798
-10502,-52830
31977,10799
21369,32005
42559,10801
21349,-42224
-21047,-42229
21313,-31619
-21089,-31617
53184,-10408
31946,10797
21345,-10408
-52877,53223
-52865,-52834
-52922,21400
10724,-31619
-10459,-31621
31967,53214
-10466,42614
-21058,-31626
10708,-42226
21313,-42224
-21099,-10416
10741,32013
-21062,-52829
31938,-52832
21318,10802
21349,21402
21361,53223
21349,21405
21334,10794
31947,21399
10709,-10412
-42269,-10412
-52874,-42227
-21095,-31620
-10457,21404
53157,-21020
-31685,-21016
10716,-31626
53152,10802
-52922,42611
21361,42612
31966,10795
-21102,42610
42580,32010
31947,-21013
42571,42612
-52862,53221
53171,-10411
42555,32011
-52909,-42231
31934,-10408
-42268,-52827
-21056,53218
-42259,-52832
31976,21404
42532,53216
-52920,-42231
53179,53214
-52869,10794
53181,42618
10760,-52832
31975,-52829
42523,-42222
-31656,32013
-42260,-52830
42556,-31617
31979,-10407
42575,32013
10728,21407
-10458,32009
42563,-31619
31942,-52827
21372,32009
53139,32008
-42281,-42228
-42315,-52827
31946,21405
42559,-31622
-10442,-10410
-52910,-21015
-52921,-42227
31943,-10409
10769,-10416
-42305,42611
21337,32013
10728,-42228
-31653,21403
21317,32008
-31679,10803
-31664,10799
-52862,42616
31918,53218
-21104,32004
-42297,10796
31938,53222
-31655,-31623
-21071,-42229
53173,-52832
31929,-31621
-42289,21402
42533,10799
-21102,-52828
-21062,-42225
53133,-21016
31969,53223
-10482,-21021
21355,32004
-31664,21402
-31664,-31626
10760,-42231
-31684,-31623
-52902,-21015
42536,32004
-10442,32007
